prompt_idx,seed_offset,clip_score,is_best
0,0,0.372727,False
0,1,0.369554,False
0,2,0.365312,False
0,3,0.388335,False
0,4,0.383419,False
0,5,0.385049,False
0,6,0.370459,False
0,7,0.358438,False
0,8,0.381943,False
0,9,0.362626,False
0,10,0.367102,False
0,11,0.346645,False
0,12,0.374146,False
0,13,0.366668,False
0,14,0.373616,False
0,15,0.363003,False
0,16,0.389594,True
0,17,0.366380,False
0,18,0.359685,False
0,19,0.367910,False
0,20,0.369071,False
0,21,0.355118,False
0,22,0.375396,False
0,23,0.361327,False
0,24,0.380969,False
0,25,0.383853,False
0,26,0.373958,False
0,27,0.380855,False
0,28,0.357155,False
0,29,0.365044,False
0,30,0.360209,False
0,31,0.372405,False
1,0,0.352863,False
1,1,0.345935,False
1,2,0.362527,True
1,3,0.347445,False
1,4,0.353279,False
1,5,0.360302,False
1,6,0.336512,False
1,7,0.339258,False
1,8,0.342867,False
1,9,0.335056,False
1,10,0.361087,False
1,11,0.346870,False
1,12,0.350717,False
1,13,0.353802,False
1,14,0.353126,False
1,15,0.346758,False
1,16,0.337021,False
1,17,0.352639,False
1,18,0.340622,False
1,19,0.352123,False
1,20,0.351015,False
1,21,0.344947,False
1,22,0.356022,False
1,23,0.350359,False
1,24,0.350416,False
1,25,0.344916,False
1,26,0.357431,False
1,27,0.345689,False
1,28,0.360747,False
1,29,0.346523,False
1,30,0.356869,False
1,31,0.341930,False
2,0,0.357815,False
2,1,0.207716,False
2,2,0.345327,False
2,3,0.332643,False
2,4,0.354285,False
2,5,0.345822,False
2,6,0.348406,False
2,7,0.356487,False
2,8,0.348236,False
2,9,0.372617,True
2,10,0.331939,False
2,11,0.359417,False
2,12,0.358403,False
2,13,0.343399,False
2,14,0.332519,False
2,15,0.355037,False
2,16,0.328249,False
2,17,0.350350,False
2,18,0.360900,False
2,19,0.367222,False
2,20,0.361231,False
2,21,0.329481,False
2,22,0.347730,False
2,23,0.277490,False
2,24,0.338840,False
2,25,0.340114,False
2,26,0.338696,False
2,27,0.322387,False
2,28,0.352115,False
2,29,0.350714,False
2,30,0.355730,False
2,31,0.359694,False
3,0,0.313592,False
3,1,0.327104,False
3,2,0.329136,False
3,3,0.328735,False
3,4,0.334387,False
3,5,0.301664,False
3,6,0.303224,False
3,7,0.323377,False
3,8,0.340523,False
3,9,0.303859,False
3,10,0.320359,False
3,11,0.316522,False
3,12,0.320440,False
3,13,0.311666,False
3,14,0.319962,False
3,15,0.320658,False
3,16,0.331517,False
3,17,0.323561,False
3,18,0.317340,False
3,19,0.301817,False
3,20,0.298611,False
3,21,0.340639,True
3,22,0.318160,False
3,23,0.321411,False
3,24,0.312940,False
3,25,0.283365,False
3,26,0.320830,False
3,27,0.298083,False
3,28,0.332349,False
3,29,0.285651,False
3,30,0.317487,False
3,31,0.302087,False
4,0,0.350468,False
4,1,0.334863,False
4,2,0.331904,False
4,3,0.333718,False
4,4,0.354347,False
4,5,0.357962,True
4,6,0.310996,False
4,7,0.346950,False
4,8,0.352814,False
4,9,0.320096,False
4,10,0.346969,False
4,11,0.340529,False
4,12,0.347042,False
4,13,0.341097,False
4,14,0.329018,False
4,15,0.308371,False
4,16,0.349447,False
4,17,0.322380,False
4,18,0.299946,False
4,19,0.336051,False
4,20,0.338657,False
4,21,0.346624,False
4,22,0.331828,False
4,23,0.344597,False
4,24,0.339787,False
4,25,0.339057,False
4,26,0.336300,False
4,27,0.357348,False
4,28,0.309483,False
4,29,0.317435,False
4,30,0.319164,False
4,31,0.321910,False
5,0,0.369423,False
5,1,0.386291,False
5,2,0.387269,False
5,3,0.388188,False
5,4,0.386202,False
5,5,0.361356,False
5,6,0.386642,False
5,7,0.386899,False
5,8,0.350804,False
5,9,0.387209,False
5,10,0.385408,False
5,11,0.394380,True
5,12,0.384968,False
5,13,0.385521,False
5,14,0.393404,False
5,15,0.354298,False
5,16,0.387121,False
5,17,0.358158,False
5,18,0.387347,False
5,19,0.368214,False
5,20,0.367785,False
5,21,0.364093,False
5,22,0.386400,False
5,23,0.387222,False
5,24,0.366173,False
5,25,0.386900,False
5,26,0.386373,False
5,27,0.386660,False
5,28,0.386331,False
5,29,0.384488,False
5,30,0.337693,False
5,31,0.365290,False
6,0,0.330198,False
6,1,0.354016,False
6,2,0.350246,False
6,3,0.349896,False
6,4,0.331869,False
6,5,0.339311,False
6,6,0.339596,False
6,7,0.350078,False
6,8,0.337713,False
6,9,0.337370,False
6,10,0.350812,False
