step,t,sds_loss,anchor_loss,colors_used,lum_levels,hf_energy,l1_drift_from_init
0,504,2196.0000,0.000000,5,5,0.33427,0.00000
50,254,453.0000,0.000000,5,5,0.33170,0.00325
100,558,3460.0000,0.000000,5,5,0.32041,0.00558
150,874,30176.0000,0.000000,6,5,0.32090,0.00790
200,61,25.0469,0.000000,6,5,0.31161,0.00864
250,248,453.7500,0.000000,6,5,0.31933,0.01952
300,458,2114.0000,0.000000,6,5,0.33073,0.02937
350,814,9120.0000,0.000000,6,5,0.32952,0.03603
400,746,10144.0000,0.000000,6,5,0.33472,0.04046
450,368,957.0000,0.000000,6,5,0.34377,0.04427
500,585,9256.0000,0.000000,6,5,0.36517,0.05233
550,193,286.2500,0.000000,6,5,0.37079,0.06709
600,694,20576.0000,0.000000,6,5,0.37947,0.07481
650,688,9240.0000,0.000000,6,5,0.38798,0.07817
700,140,135.3750,0.000000,7,6,0.38283,0.07406
750,772,14784.0000,0.000000,7,6,0.39389,0.08225
800,758,15592.0000,0.000000,7,6,0.38970,0.09095
850,357,903.5000,0.000000,7,6,0.40273,0.09334
900,43,14.1016,0.000000,7,6,0.41313,0.09606
950,837,11824.0000,0.000000,7,6,0.40278,0.09725
1000,625,4912.0000,0.000000,8,6,0.40972,0.10190
1050,496,2230.0000,0.000000,7,6,0.39444,0.10940
1100,219,409.0000,0.000000,6,6,0.37162,0.11794
1150,159,167.2500,0.000000,7,6,0.35080,0.12727
1200,183,240.2500,0.000000,6,6,0.34475,0.13266
1250,131,120.3750,0.000000,7,6,0.32953,0.13638
1300,633,10344.0000,0.000000,6,6,0.32546,0.13799
1350,728,20128.0000,0.000000,6,6,0.32334,0.13838
1400,610,5508.0000,0.000000,6,6,0.32563,0.14078
1450,185,222.7500,0.000000,6,6,0.32450,0.14166
1500,893,13240.0000,0.000000,6,6,0.32709,0.14291
1550,62,24.7656,0.000000,5,5,0.33148,0.14310
1600,338,946.5000,0.000000,6,6,0.33121,0.14448
1650,544,7264.0000,0.000000,6,6,0.32958,0.14346
1700,358,1817.0000,0.000000,6,6,0.33280,0.14535
1750,566,6976.0000,0.000000,6,6,0.33274,0.14561
1800,254,400.2500,0.000000,6,6,0.33166,0.14356
1850,623,9112.0000,0.000000,6,6,0.33068,0.14309
1900,187,213.1250,0.000000,6,6,0.33713,0.14291
1950,118,75.7500,0.000000,6,6,0.33713,0.14185
2000,611,7748.0000,0.000000,6,6,0.32838,0.14106
2050,233,301.2500,0.000000,6,6,0.32960,0.14149
2100,49,14.0078,0.000000,6,6,0.32665,0.14009
2150,91,44.8750,0.000000,6,6,0.32994,0.14283
2200,556,11688.0000,0.000000,6,5,0.33621,0.14343
2250,251,384.0000,0.000000,5,5,0.33050,0.14356
2300,758,6320.0000,0.000000,6,5,0.33892,0.14440
2350,884,11320.0000,0.000000,6,5,0.33990,0.14440
2400,212,234.1250,0.000000,5,5,0.33013,0.14407
2450,769,14152.0000,0.000000,6,5,0.33790,0.14449
2500,742,6144.0000,0.000000,5,5,0.32964,0.14552
2550,727,22848.0000,0.000000,5,5,0.32929,0.14540
2600,555,9096.0000,0.000000,5,5,0.32892,0.14452
2650,554,19040.0000,0.000000,5,5,0.32982,0.14498
2700,419,2410.0000,0.000000,5,5,0.33271,0.14549
2750,842,5460.0000,0.000000,5,5,0.33471,0.14587
2800,205,211.6250,0.000000,6,5,0.34282,0.14629
2850,271,570.0000,0.000000,5,5,0.33706,0.14587
2900,943,5900.0000,0.000000,5,5,0.33643,0.14715
2950,388,1674.0000,0.000000,6,5,0.34382,0.14702
3000,268,541.0000,0.000000,6,5,0.34525,0.14824
3050,953,7200.0000,0.000000,5,5,0.33342,0.14747
3100,707,8656.0000,0.000000,5,5,0.33029,0.14494
3150,627,6508.0000,0.000000,5,5,0.33029,0.14494
3200,803,25152.0000,0.000000,6,5,0.33786,0.14649
3250,115,78.2500,0.000000,5,5,0.33041,0.14604
3300,428,4464.0000,0.000000,5,5,0.33035,0.14557
3350,964,7332.0000,0.000000,5,5,0.33080,0.14607
3400,568,4006.0000,0.000000,5,5,0.33464,0.14560
3450,729,11904.0000,0.000000,5,5,0.33366,0.14619
3500,878,6824.0000,0.000000,5,5,0.33028,0.14531
3550,62,25.5156,0.000000,5,5,0.32789,0.14482
3600,242,459.7500,0.000000,5,5,0.32787,0.14453
3650,496,3928.0000,0.000000,5,5,0.33070,0.14540
3700,837,3486.0000,0.000000,5,5,0.33450,0.14715
3750,244,649.0000,0.000000,5,5,0.33719,0.14761
3800,474,4904.0000,0.000000,5,5,0.33586,0.14848
3850,803,8320.0000,0.000000,5,5,0.33533,0.14799
3900,234,352.0000,0.000000,5,5,0.33014,0.14657
3950,55,20.5625,0.000000,5,5,0.32918,0.14610
4000,42,11.5547,0.000000,5,5,0.33135,0.14785
4050,364,1761.0000,0.000000,5,5,0.33449,0.14852
4100,681,3602.0000,0.000000,5,5,0.33478,0.14610
4150,624,3056.0000,0.000000,6,6,0.33243,0.14489
4200,972,4640.0000,0.000000,5,5,0.33198,0.14488
4250,854,8624.0000,0.000000,5,5,0.33267,0.14627
4300,820,13560.0000,0.000000,5,5,0.32873,0.14494
4350,191,224.7500,0.000000,5,5,0.33010,0.14540
4400,829,7248.0000,0.000000,5,5,0.32873,0.14503
4450,294,702.0000,0.000000,5,5,0.33173,0.14553
4500,240,391.5000,0.000000,5,5,0.33231,0.14607
4550,700,7152.0000,0.000000,5,5,0.33443,0.14729
4600,531,7636.0000,0.000000,5,5,0.33230,0.14642
4650,200,238.7500,0.000000,5,5,0.33364,0.14825
4700,904,7772.0000,0.000000,5,5,0.33364,0.14825
4750,108,65.6250,0.000000,6,6,0.34004,0.14646
4800,356,1675.0000,0.000000,5,5,0.33625,0.14729
4850,44,13.7656,0.000000,6,6,0.33893,0.14646
4900,76,37.9062,0.000000,6,6,0.33872,0.14672
4950,637,17184.0000,0.000000,6,6,0.33872,0.14664
5000,261,467.5000,0.000000,6,6,0.33550,0.14748
5050,512,3276.0000,0.000000,6,6,0.33366,0.14710
5100,42,13.8594,0.000000,5,5,0.32913,0.14744
5150,264,449.2500,0.000000,5,5,0.33414,0.14840
5200,239,337.7500,0.000000,5,5,0.33300,0.14936
5250,870,9864.0000,0.000000,5,5,0.33541,0.14982
5300,718,6140.0000,0.000000,5,5,0.33823,0.14982
5350,951,10896.0000,0.000000,6,6,0.34302,0.14861
5400,340,1111.0000,0.000000,5,5,0.33882,0.14893
5450,147,136.5000,0.000000,5,5,0.33510,0.14925
5500,156,505.0000,0.000000,5,5,0.33396,0.15021
5550,631,14832.0000,0.000000,7,6,0.34218,0.15056
5600,891,7528.0000,0.000000,7,6,0.35106,0.15015
5650,430,2380.0000,0.000000,7,6,0.35251,0.15070
5700,855,8320.0000,0.000000,7,6,0.35002,0.14937
5750,314,768.5000,0.000000,7,6,0.35292,0.14984
5800,75,34.2188,0.000000,7,6,0.35348,0.15009
5850,242,450.7500,0.000000,7,6,0.35492,0.14794
5900,975,3454.0000,0.000000,6,6,0.34895,0.14907
5950,427,2790.0000,0.000000,6,6,0.34651,0.14869
6000,436,9816.0000,0.000000,6,6,0.34198,0.14934
6050,717,9592.0000,0.000000,6,6,0.33445,0.14875
6100,515,4820.0000,0.000000,6,6,0.32915,0.14648
6150,812,3708.0000,0.000000,6,6,0.33574,0.14865
6200,188,211.3750,0.000000,6,6,0.33746,0.14897
6250,258,504.0000,0.000000,6,6,0.32993,0.14733
6300,940,6476.0000,0.000000,6,6,0.34151,0.15055
6350,813,10544.0000,0.000000,6,6,0.34547,0.14927
6400,438,2780.0000,0.000000,6,6,0.34485,0.14984
6450,901,10120.0000,0.000000,7,6,0.34870,0.14845
6500,926,9376.0000,0.000000,7,6,0.34668,0.14766
6550,726,4812.0000,0.000000,6,6,0.33740,0.14413
6600,408,3264.0000,0.000000,6,6,0.33251,0.14366
6650,817,5832.0000,0.000000,6,6,0.32901,0.14362
6700,317,773.5000,0.000000,6,6,0.33466,0.14541
6750,162,147.6250,0.000000,6,6,0.33466,0.14541
6800,688,3944.0000,0.000000,6,6,0.33080,0.14699
6850,524,6672.0000,0.000000,6,6,0.33214,0.14611
6900,126,96.3750,0.000000,6,6,0.33382,0.14732
6950,657,6872.0000,0.000000,6,6,0.33363,0.14732
7000,673,4156.0000,0.000000,7,6,0.34179,0.14728
7050,241,388.2500,0.000000,7,6,0.33681,0.14775
7100,725,5004.0000,0.000000,7,6,0.33926,0.14737
7150,769,4896.0000,0.000000,7,6,0.33886,0.14858
7200,527,6744.0000,0.000000,7,6,0.33812,0.14817
7250,50,18.3125,0.000000,7,6,0.34735,0.14662
7300,722,9360.0000,0.000000,7,6,0.34333,0.14547
7350,973,4804.0000,0.000000,7,6,0.34027,0.14824
7400,680,5516.0000,0.000000,7,6,0.34627,0.14903
7450,775,5168.0000,0.000000,7,6,0.34356,0.14899
7500,949,4224.0000,0.000000,7,6,0.33579,0.14775
7550,747,4464.0000,0.000000,7,6,0.33609,0.14764
7600,208,292.0000,0.000000,6,6,0.33352,0.14707
7650,278,490.7500,0.000000,7,6,0.33917,0.14866
7700,110,78.8125,0.000000,7,6,0.33998,0.15028
7750,121,93.0625,0.000000,7,6,0.33937,0.15037
7800,837,17872.0000,0.000000,7,6,0.34388,0.14888
7850,654,13544.0000,0.000000,6,6,0.33522,0.14773
7900,415,2516.0000,0.000000,6,6,0.34049,0.14747
7950,162,152.7500,0.000000,6,6,0.33799,0.14756
8000,37,10.3516,0.000000,6,6,0.33653,0.14846
8050,165,168.0000,0.000000,6,6,0.34123,0.14814
8100,596,6560.0000,0.000000,6,6,0.33990,0.14786
8150,857,17360.0000,0.000000,6,6,0.34719,0.15022
8200,224,372.0000,0.000000,6,6,0.35410,0.15233
8250,836,7516.0000,0.000000,5,5,0.34583,0.15238
8300,912,10024.0000,0.000000,6,6,0.34536,0.15067
8350,139,111.6250,0.000000,6,6,0.34041,0.15037
8400,973,9368.0000,0.000000,6,6,0.34149,0.15179
8450,268,561.5000,0.000000,6,6,0.34580,0.15019
8500,484,3024.0000,0.000000,6,6,0.34861,0.14962
8550,929,4340.0000,0.000000,6,6,0.34625,0.14914
8600,26,6.0234,0.000000,6,6,0.34971,0.15259
8650,662,7332.0000,0.000000,6,6,0.34346,0.15219
