path,src,zip,member,licence,side,palette
0000001.png,data/oga3_cut_ccby,2D_Art_00.zip,weapons-6-far-alpha.png,CC-BY-4.0,13,4
0000002.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,29,7
0000003.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,33,7
0000004.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,7
0000005.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,7
0000006.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,26,7
0000007.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,7
0000008.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,26,7
0000009.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,7
0000010.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,7
0000011.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,7
0000012.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,26,7
0000013.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,7
0000014.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,26,7
0000015.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,24,7
0000016.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,7
0000017.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,34,8
0000018.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,33,8
0000019.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,33,8
0000020.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,26,8
0000021.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,8
0000022.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,26,8
0000023.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,26,8
0000024.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,8
0000025.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,8
0000026.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,8
0000027.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,6
0000028.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,24,8
0000029.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,8
0000030.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,34,7
0000031.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,34,7
0000032.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,27,9
0000033.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,9
0000034.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,9
0000035.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,8
0000036.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,9
0000037.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,9
0000038.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,9
0000039.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,9
0000040.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,9
0000041.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,7
0000042.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,9
0000043.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,24,9
0000044.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,9
0000045.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,34,6
0000046.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,34,6
0000047.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,27,8
0000048.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,27,6
0000049.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,8
0000050.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,7
0000051.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,8
0000052.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,7
0000053.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,8
0000054.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,8
0000055.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,8
0000056.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,25,8
0000057.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,24,7
0000058.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,24,7
0000059.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,24,6
0000060.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,24,6
0000061.png,data/oga3_cut_ccby,2D_Art_00.zip,slasher_man.png,CC-BY-4.0,24,6
0000062.png,data/oga3_cut_ccby,2D_Art_00.zip,powerupblockanimation_0.png,CC-BY-4.0,60,10
0000063.png,data/oga3_cut_ccby,2D_Art_00.zip,dungeon1tileset-export-export_0.png,CC-BY-4.0,20,5
0000064.png,data/oga3_cut_ccby,2D_Art_00.zip,dungeon1tileset-export-export_0.png,CC-BY-4.0,16,8
0000065.png,data/oga3_cut_ccby,2D_Art_00.zip,dungeon1tileset-export-export_0.png,CC-BY-4.0,12,5
0000066.png,data/oga3_cut_ccby,2D_Art_00.zip,dungeon1tileset-export-export_0.png,CC-BY-4.0,23,5
0000067.png,data/oga3_cut_ccby,2D_Art_00.zip,dungeon1tileset-export-export_0.png,CC-BY-4.0,16,11
0000068.png,data/oga3_cut_ccby,2D_Art_00.zip,dungeon_tiles_6.png,CC-BY-4.0,60,4
0000069.png,data/oga3_cut_ccby,2D_Art_00.zip,tileset21_0.png,CC-BY-4.0,30,5
0000070.png,data/oga3_cut_ccby,2D_Art_00.zip,order.png,CC-BY-4.0,32,5
0000071.png,data/oga3_cut_ccby,2D_Art_00.zip,order.png,CC-BY-4.0,32,5
0000072.png,data/oga3_cut_ccby,2D_Art_00.zip,order.png,CC-BY-4.0,32,5
0000073.png,data/oga3_cut_ccby,2D_Art_00.zip,order.png,CC-BY-4.0,32,5
0000074.png,data/oga3_cut_ccby,2D_Art_00.zip,order.png,CC-BY-4.0,32,5
0000075.png,data/oga3_cut_ccby,2D_Art_00.zip,order.png,CC-BY-4.0,32,5
0000076.png,data/oga3_cut_ccby,2D_Art_00.zip,order.png,CC-BY-4.0,32,5
0000077.png,data/oga3_cut_ccby,2D_Art_00.zip,order.png,CC-BY-4.0,32,5
0000078.png,data/oga3_cut_ccby,2D_Art_00.zip,CHEVALIER2_1.png,CC-BY-4.0,64,19
0000079.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,32,6
0000080.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,32,6
0000081.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,32,6
0000082.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,31,6
0000083.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,32,6
0000084.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,31,6
0000085.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,32,6
0000086.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,31,6
0000087.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,32,6
0000088.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,30,6
0000089.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,30,6
0000090.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,30,6
0000091.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,28,6
0000092.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,28,6
0000093.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,28,6
0000094.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,24,7
0000095.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,24,6
0000096.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,24,6
0000097.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,29,5
0000098.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,31,6
0000099.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,31,6
0000100.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,29,5
0000101.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,31,6
0000102.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,31,6
