path,src,zip,member,licence,side,palette,flat
0000001.png,data/oga5_cut_ccby3,2D_Art_00.zip,regeneration-0.png,CC-BY-3.0,64,1223,0.0801
0000002.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,9,0.5462
0000003.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,31,8,0.5476
0000004.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,9,0.5589
0000005.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,31,9,0.5526
0000006.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,31,8,0.55
0000007.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,9,0.5462
0000008.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,9,0.5601
0000009.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,9,0.5435
0000010.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,10,0.5344
0000011.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,10,0.5323
0000012.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,10,0.538
0000013.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,10,0.5534
0000014.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,31,9,0.4978
0000015.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,9,0.4958
0000016.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,31,9,0.485
0000017.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,10,0.4959
0000018.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,11,0.5187
0000019.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,11,0.5027
0000020.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,11,0.4799
0000021.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,11,0.4518
0000022.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,31,11,0.5
0000023.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,30,11,0.4925
0000024.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,31,11,0.4499
0000025.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,31,11,0.4956
0000026.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,11,0.4581
0000027.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,31,11,0.4563
0000028.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,32,12,0.4855
0000029.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,30,12,0.4564
0000030.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,30,12,0.4296
0000031.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,31,12,0.4837
0000032.png,data/oga5_cut_ccby3,2D_Art_00.zip,naked_walk.png,CC-BY-3.0,31,11,0.4968
