path,text
kenney_items__pixel-platformer-food-expansion_tile_0008.png,a pixel art item
kenney_items__pixel-platformer-food-expansion_tile_0008.png,a pixel art item
kenney_items__pixel-platformer-food-expansion_tile_0009.png,"Bell, golden yellow metal, round sphere, dark grey outline, horizontal band, small bottom opening"
kenney_items__pixel-platformer-food-expansion_tile_0009.png,"Bell, golden yellow metal, round sphere, dark grey outline, horizontal band, small bottom opening"
kenney_items__pixel-platformer-food-expansion_tile_0013.png,"Circular wooden shield, dark grey rim, orange-brown wood, central round metal boss"
kenney_items__pixel-platformer-food-expansion_tile_0013.png,"Circular wooden shield, dark grey rim, orange-brown wood, central round metal boss"
kenney_items__pixel-platformer-food-expansion_tile_0014.png,"Donut, golden brown pastry, pink frosting, light blue and pink sprinkles, dark outline"
kenney_items__pixel-platformer-food-expansion_tile_0014.png,"Donut, golden brown pastry, pink frosting, light blue and pink sprinkles, dark outline"
kenney_items__pixel-platformer-food-expansion_tile_0015.png,"Donut, golden brown pastry, chocolate brown frosting, light brown highlights, dark outline"
kenney_items__pixel-platformer-food-expansion_tile_0015.png,"Donut, golden brown pastry, chocolate brown frosting, light brown highlights, dark outline"
kenney_items__pixel-platformer-food-expansion_tile_0024.png,"Vertical bars, white centers, dark grey borders, two parallel upright stripes"
kenney_items__pixel-platformer-food-expansion_tile_0024.png,"Vertical bars, white centers, dark grey borders, two parallel upright stripes"
kenney_items__pixel-platformer-food-expansion_tile_0042.png,"Pouch, reddish orange leather, cinched neck at top, dark grey outline, rounded base"
kenney_items__pixel-platformer-food-expansion_tile_0042.png,"Pouch, reddish orange leather, cinched neck at top, dark grey outline, rounded base"
kenney_items__pixel-platformer-food-expansion_tile_0043.png,"Candy corn, white pointed tip, orange middle section, yellow base, dark grey outline"
kenney_items__pixel-platformer-food-expansion_tile_0043.png,"Candy corn, white pointed tip, orange middle section, yellow base, dark grey outline"
kenney_items__pixel-platformer-food-expansion_tile_0044.png,"Horizontal beam, orange wood center, dark grey borders on top and bottom"
kenney_items__pixel-platformer-food-expansion_tile_0044.png,"Horizontal beam, orange wood center, dark grey borders on top and bottom"
kenney_items__pixel-platformer-food-expansion_tile_0080.png,"Torch, blue cylindrical base, white candle middle, yellow and orange flame"
kenney_items__pixel-platformer-food-expansion_tile_0080.png,"Torch, blue cylindrical base, white candle middle, yellow and orange flame"
kenney_items__pixel-platformer-food-expansion_tile_0081.png,"Torch, orange cylindrical base, white candle middle, yellow and orange flame"
kenney_items__pixel-platformer-food-expansion_tile_0081.png,"Torch, orange cylindrical base, white candle middle, yellow and orange flame"
kenney_items__pixel-platformer-food-expansion_tile_0090.png,"Hamburger, brown buns, green lettuce layer, thick brown meat patty, dark border"
kenney_items__pixel-platformer-food-expansion_tile_0090.png,"Hamburger, brown buns, green lettuce layer, thick brown meat patty, dark border"
kenney_items__pixel-platformer-food-expansion_tile_0091.png,"Layered burger, orange buns, red patty, green lettuce, thick dark blue outline"
kenney_items__pixel-platformer-food-expansion_tile_0091.png,"Layered burger, orange buns, red patty, green lettuce, thick dark blue outline"
kenney_items__pixel-platformer-food-expansion_tile_0096.png,"Vertical pillar, blue and white alternating stripes, dark grey vertical side borders"
kenney_items__pixel-platformer-food-expansion_tile_0096.png,"Vertical pillar, blue and white alternating stripes, dark grey vertical side borders"
kenney_items__pixel-platformer-food-expansion_tile_0097.png,"Vertical pillar, orange and white alternating stripes, dark grey vertical side borders"
kenney_items__pixel-platformer-food-expansion_tile_0097.png,"Vertical pillar, orange and white alternating stripes, dark grey vertical side borders"
kenney_items__pixel-platformer-food-expansion_tile_0099.png,"Pillar base, white stone structure, flared bottom, dark grey outline, symmetrical shape"
kenney_items__pixel-platformer-food-expansion_tile_0099.png,"Pillar base, white stone structure, flared bottom, dark grey outline, symmetrical shape"
kenney_items__pixel-platformer-food-expansion_tile_0100.png,"Pillar base, white stone, flared bottom, dark grey outline, simple architectural support"
kenney_items__pixel-platformer-food-expansion_tile_0100.png,"Pillar base, white stone, flared bottom, dark grey outline, simple architectural support"
kenney_items__pixel-platformer-food-expansion_tile_0103.png,"Sushi roll, dark seaweed wrap, white rice interior, green and orange center"
kenney_items__pixel-platformer-food-expansion_tile_0103.png,"Sushi roll, dark seaweed wrap, white rice interior, green and orange center"
kenney_items__pixel-platformer-food-expansion_tile_0104.png,"Nigiri sushi, orange fish slice, white rice mound, green seaweed band wrap"
kenney_items__pixel-platformer-food-expansion_tile_0104.png,"Nigiri sushi, orange fish slice, white rice mound, green seaweed band wrap"
kenney_items__pixel-platformer-food-expansion_tile_0105.png,"Pizza slice, triangular yellow shape, orange cheese, dark blue crust, red toppings"
kenney_items__pixel-platformer-food-expansion_tile_0105.png,"Pizza slice, triangular yellow shape, orange cheese, dark blue crust, red toppings"
kenney_items__pixel-platformer-food-expansion_tile_0106.png,"Pizza slice, yellow cheese, red pepperoni circles, orange crust, thick dark outline"
kenney_items__pixel-platformer-food-expansion_tile_0106.png,"Pizza slice, yellow cheese, red pepperoni circles, orange crust, thick dark outline"
kenney_items__roguelike-caves-dungeons_00_00.png,"Rock steps, brown earth material, three-tiered ascending slope, jagged right edge"
kenney_items__roguelike-caves-dungeons_00_00.png,"Rock steps, brown earth material, three-tiered ascending slope, jagged right edge"
kenney_items__roguelike-caves-dungeons_00_01.png,"Rock steps, brown earth, green moss patches, three-tiered ascending slope, jagged edge"
kenney_items__roguelike-caves-dungeons_00_01.png,"Rock steps, brown earth, green moss patches, three-tiered ascending slope, jagged edge"
kenney_items__roguelike-caves-dungeons_00_02.png,"Rock steps, brown earth, green moss patches, tiered ascending slope, dark grey outline"
kenney_items__roguelike-caves-dungeons_00_02.png,"Rock steps, brown earth, green moss patches, tiered ascending slope, dark grey outline"
kenney_items__roguelike-caves-dungeons_00_03.png,"Rock pillar, brown earth, tall vertical structure, jagged right side, dark grey outline"
kenney_items__roguelike-caves-dungeons_00_03.png,"Rock pillar, brown earth, tall vertical structure, jagged right side, dark grey outline"
kenney_items__roguelike-caves-dungeons_00_04.png,"Rock pillar, brown earth, green moss patches, tall vertical structure, jagged outline"
kenney_items__roguelike-caves-dungeons_00_04.png,"Rock pillar, brown earth, green moss patches, tall vertical structure, jagged outline"
kenney_items__roguelike-caves-dungeons_00_05.png,"Stone pillar, light grey material, tall vertical structure, jagged right side, dark outline"
kenney_items__roguelike-caves-dungeons_00_05.png,"Stone pillar, light grey material, tall vertical structure, jagged right side, dark outline"
kenney_items__roguelike-caves-dungeons_00_06.png,"Stone pillar, light grey material, green moss patches, tall vertical structure, jagged outline"
kenney_items__roguelike-caves-dungeons_00_06.png,"Stone pillar, light grey material, green moss patches, tall vertical structure, jagged outline"
kenney_items__roguelike-caves-dungeons_00_07.png,"Surface cracks, dark grey jagged lines, branching patterns, indicating damaged stone or glass"
kenney_items__roguelike-caves-dungeons_00_07.png,"Surface cracks, dark grey jagged lines, branching patterns, indicating damaged stone or glass"
kenney_items__roguelike-caves-dungeons_01_00.png,"Stone steps, light grey material, three-tiered ascending slope, jagged right edge, dark outline"
kenney_items__roguelike-caves-dungeons_01_00.png,"Stone steps, light grey material, three-tiered ascending slope, jagged right edge, dark outline"
kenney_items__roguelike-caves-dungeons_01_01.png,Jagged grey rock with bright green moss patches on its left and top
kenney_items__roguelike-caves-dungeons_01_01.png,Jagged grey rock with bright green moss patches on its left and top
