path,text
0000009.png,Hammer with a square grey stone head and a diagonal brown wooden handle
0000029.png,"Mace weapon, silver spiked metal ball attached to a long brown handle"
0000105.png,"Short sword, wide silver blade, brown crossguard, dark blue handle grip"
0000107.png,"Woodcutting axe, small metallic silver head, long vertical brown wooden handle"
0000165.png,Axe featuring a long brown wooden handle and a sharp gray metal head
0000186.png,Sledgehammer with a long black handle and a heavy red and black head
0000193.png,Battle axe featuring a long wooden handle and a curved sharp metal blade
0000212.png,Sledgehammer with a long black handle and a heavy dark grey rectangular head
0000270.png,"Simple sword, straight grey blade with a brown handle and dark pommel"
0000274.png,"Primitive spear, sharp metal tip tied with red cloth to a pole"
0000283.png,Scepter with a long black handle and a dark head holding a green gemstone
0000311.png,"Poleaxe, long dark wooden handle topped with a grey metal blade"
0000355.png,"Cart, wooden and two-wheeled, with brown planks and front handles"
0000391.png,"Battle axe, steel double-headed blade attached to a long brown wooden handle angled diagonally"
0000400.png,"Battle axe, pale grey metal double blade on a brown wooden handle, angled diagonally"
0000403.png,"Executioner axe, silver metal blade with gold trim attached to a dark blue handle"
0000433.png,"Morning star, silver spiked mace head attached to a long brown wooden handle"
0000525.png,Battle axe featuring a sharp grey metal blade and a long brown handle
0000618.png,"Battle axe, sharp grey metal blade attached to a long dark brown wooden handle"
0000633.png,"Battle axe, curved gray metal blade with a long dark brown wooden handle"
0000648.png,"Spiked mace, gray metal ball with sharp points on a brown wooden shaft"
0000714.png,"Sledgehammer, heavy black metal head with red edges on a long thin handle"
0000721.png,"Hatchet, grey metal blade attached to a straight horizontal brown wooden handle"
0000855.png,Axe with a sharp grey metal blade and a long brown wooden handle
0000872.png,Hand axe with small grey metal head and long brown wooden handle
0001016.png,"Warrior, grey metal helmet, brown tunic, and a blue-tipped spear"
0001021.png,Warrior dressed in white and purple clothes wielding a large silver sword
0001026.png,Guard in a grey helmet and orange clothes holding a blue-tipped spear
0001028.png,Short sword with a black handle and a thick grey metal blade
0001099.png,"Small knight, grey metal helmet, brown tunic, holding long spear pointed upwards"
0001108.png,"Warrior, silver helmet, brown tunic, holding a long brown spear with blue tip"
0001141.png,Small wooden boat with a single black mast and a white triangular sail
0001158.png,White cat-girl with pink hair holding a long-handled axe with a grey blade
0001161.png,White cat-girl with pink hair swinging a black spiked flail on a chain
0001184.png,"Long wooden pole weapon with a dark, curved stone head at the top"
0001207.png,Tiny knight with a grey helmet and brown tunic holding a spear
0001220.png,"Knight wearing a grey helmet and brown tunic, holding a tall spear"
0001248.png,"Hatchet, long brown wooden handle attached to a dark, jagged stone blade head"
0001262.png,Battle axe with long wooden handle and rusted iron head angled upwards
0001266.png,White humanoid creature with pink eye-like head holding a long thin needle
0001268.png,Wooden boat with dark hull and two greyish-white triangular sails above it
0001270.png,a pixel with a sword and a red shirt
0001300.png,Hand axe with long dark brown wooden handle and metallic grey and rust head
0001312.png,"Large grey broadsword with a dark handle, crossguard, and thick, straight-edged metal blade"
0001313.png,Small knight in a silver helmet lunging forward with a long wooden spear
0001326.png,"Guard, silver helmet, brown tunic, holding tall spear with blue metal tip"
0001330.png,"Cat-like person, white fur, pink hair, purple clothing, swinging wooden baseball bat"
0001355.png,"Knight, silver metal helmet, brown leather tunic, yellow boots, holding blue-tipped wooden spear"
0001362.png,"Knight, silver helmet, brown tunic, white shield, wooden spear, standing facing right"
0001378.png,"Warrior with brown hair, red tunic, and a long silver sword"
0001401.png,"Warrior, steel helmet and armor, holding a vertical spear with a blue tip"
0001407.png,"Soldier, gray helmet, brown tunic, holding a long spear with a blue tip"
0001442.png,"Warrior, grey helmet, brown tunic, holding a long blue tipped spear"
0001443.png,"Cat girl, white fur, pink hair, wearing purple clothes and holding a sword"
0001470.png,"Knight, silver helmet and brown tunic, holding a blue-tipped spear at a diagonal"
0001528.png,Hammer with a brown wooden handle and a blocky grey metal head
